En_loss_b2,Pos_2ps_b2,Neg_2ps_b2,PosErr_2ps_b2,NegErr_2ps_b2,Diff_2ps_b2,DiffErr_2ps_b2,Pos_10ps_b2_amp,Neg_10ps_b2_amp,PosErr_10ps_b2_amp,NegErr_10ps_b2_amp,Diff_10ps_b2_amp,DiffErr_10ps_b2_amp,EnQE_loss_b2,SigQE_2ps_b2,SigQE_m50ps_b2,SigErrQE_2ps_b2,SigErrQE_m50ps_b2,DiffQE_2ps_b2,DiffErrQE_2ps_b2
2.1975,2.73772,1.59045,1.6546,1.26113,1.14727,2.08042,8.65874,1.12466,3.35453,1.20897,7.53408,3.56574,2.14583,1.74328,2.59995,1.32033,1.61244,-0.856668,2.08404
2.17929,3.04098,3.29945,1.74384,1.81644,-0.258475,2.51802,5.92054,5.34287,2.77387,2.63507,0.577671,3.82595,2.12763,0,1.75326,0,1.32411,-1.75326,1.32411
2.16108,3.75971,3.64815,1.939,1.91001,0.111561,2.72174,2.18099,2.31947,1.68357,1.7362,-0.138479,2.41843,2.10942,0.727648,1.30595,0.853023,1.14278,-0.578306,1.42604
2.14287,2.33334,2.93672,1.52753,1.71368,-0.603371,2.29566,3.81053,1.3422,2.22535,1.32073,2.46833,2.58776,2.09121,1.65856,3.22684,1.28785,1.79634,-1.56828,2.21029
2.12465,4.96399,4.34568,2.228,2.08463,0.618318,3.05118,2.64554,3.10421,1.85422,2.00854,-0.458674,2.73356,2.07299,0.0697518,1.86674,0.264106,1.36629,-1.79699,1.39158
2.10643,2.0086,0.409654,1.41725,0.640042,1.59895,1.55508,2.1952,2.16712,1.68905,1.67821,0.0280772,2.38102,2.05476,4.07084,4.48784,2.01763,2.11845,-0.417007,2.92552
2.0882,2.46584,1.74717,1.5703,1.32181,0.718668,2.05256,2.52016,0,1.80975,0,2.52016,1.80975,2.03653,1.57232,2.51473,1.25392,1.58579,-0.942408,2.02164
2.06997,3.79343,3.97996,1.94767,1.99498,-0.186528,2.78808,9.94642,0,3.59533,0,9.94642,3.59533,2.0183,1.35315,2.36729,1.16325,1.5386,-1.01413,1.92884
2.05173,4.39631,1.49644,2.09674,1.22329,2.89987,2.4275,4.75776,0.088829,2.4866,0.339768,4.66893,2.50971,2.00006,1.32286,1.93709,1.15016,1.39179,-0.614229,1.80553
2.03348,3.33217,6.77365,1.82542,2.60262,-3.44148,3.17896,2.29262,0.972765,1.72612,1.12437,1.31985,2.06002,1.98182,1.80465,0.492823,1.34337,0.702013,1.31182,1.51574
2.01523,7.74928,8.1634,2.78375,2.85717,-0.414124,3.98907,2.54045,0,1.81702,0,2.54045,1.81702,1.96357,6.71616,1.2712,2.59156,1.12748,5.44496,2.82619
1.99698,3.43942,5.53422,1.85457,2.35249,-2.0948,2.9956,5.43898,0.908022,2.65867,1.08631,4.53096,2.87203,1.94531,2.77865,0,1.66693,0,2.77865,1.66693
1.97872,0.587694,5.86463,0.766612,2.4217,-5.27694,2.54014,4.21986,3.65738,2.34182,2.18017,0.562481,3.19957,1.92705,2.08139,1.40225,1.4427,1.18416,0.679149,1.86645
1.96046,4.35885,5.05552,2.08779,2.24845,-0.69667,3.06829,5.74198,5.4142,2.73172,2.6526,0.327786,3.8077,1.90879,3.21704,7.19623,1.79361,2.68258,-3.97918,3.22696
1.94219,0.596345,5.46835,0.772234,2.33845,-4.87201,2.46266,2.44633,5.57193,1.78304,2.69096,-3.1256,3.22808,1.89052,2.37135,11.856,1.53992,3.44325,-9.48463,3.77191
1.92391,5.41049,5.35915,2.32605,2.31498,0.051344,3.28171,4.03241,0,2.28922,0,4.03241,2.28922,1.87225,3.26585,7.33305,1.80717,2.70796,-4.0672,3.2556
1.90563,3.02472,3.49156,1.73917,1.86857,-0.46684,2.5527,8.94362,0.849922,3.40927,1.05098,8.0937,3.56759,1.85397,1.22631,2.6857,1.10739,1.63881,-1.45939,1.97788
1.88735,2.13889,2.87266,1.46249,1.69489,-0.733778,2.23865,7.43674,0.00990935,3.10882,0.113482,7.42683,3.11089,1.83568,3.44263,2.58144,1.85543,1.60669,0.86119,2.4544
1.86906,3.77421,2.78724,1.94273,1.6695,0.986968,2.56153,2.26949,7.76285,1.71739,3.17626,-5.49335,3.61082,1.81739,5.95925,2.01931,2.44116,1.42103,3.93994,2.82463
1.85076,1.04317,2.18912,1.02135,1.47957,-1.14595,1.79785,5.4432,3.16888,2.6597,2.02936,2.27432,3.34548,1.7991,5.93015,0.420874,2.43519,0.648748,5.50927,2.52012
1.83246,3.21312,5.38422,1.79252,2.32039,-2.1711,2.93212,1.34683,2.73353,1.32301,1.88481,-1.3867,2.30279,1.7808,13.4966,4.47223,3.67377,2.11476,9.02435,4.23896
1.81416,5.94844,2.46683,2.43894,1.57062,3.48161,2.90091,1.52451,4.56707,1.40757,2.43626,-3.04256,2.81365,1.76249,5.06544,3.82249,2.25065,1.95512,1.24295,2.98126
1.79585,3.14199,5.01834,1.77257,2.24017,-1.87636,2.85663,1.94251,4.03758,1.58886,2.29069,-2.09507,2.78778,1.74418,13.314,3.13069,3.64883,1.76938,10.1833,4.0552
1.77753,8.55053,2.64443,2.92413,1.62617,5.9061,3.34589,2.6227,2.64088,1.8462,1.85259,-0.0181757,2.61544,1.72587,8.85569,4.22054,2.97585,2.05439,4.63516,3.61611
1.75921,5.04845,1.76288,2.24688,1.32773,3.28557,2.60985,6.94053,7.5952,3.00332,3.14177,-0.654671,4.34634,1.70755,1.52492,2.78235,1.23488,1.66804,-1.25743,2.0754
1.74089,2.142,4.08488,1.46356,2.02111,-1.94288,2.49537,1.56818,1.86973,1.42759,1.55881,-0.301545,2.11374,1.68922,3.9634,1.16077,1.99083,1.07739,2.80263,2.26366
1.72256,4.5613,8.21057,2.13572,2.86541,-3.64927,3.57378,5.1775,3.17987,2.59397,2.03287,1.99763,3.29564,1.67089,4.90767,1.69087,2.21533,1.30033,3.2168,2.56876
1.70422,4.13586,4.14583,2.03368,2.03613,-0.00997594,2.87779,4.51996,2.17173,2.42366,1.67999,2.34823,2.94899,1.65256,4.28607,3.99519,2.07028,1.9988,0.290877,2.87772
1.68588,2.61431,8.00934,1.61688,2.83008,-5.39503,3.25939,6.75381,6.52046,2.96264,2.91101,0.233347,4.15346,1.63422,3.85961,2.30326,1.96459,1.51765,1.55635,2.48251
1.66754,5.34719,8.49708,2.3124,2.91498,-3.14989,3.72079,7.50885,12.9593,3.12386,4.1039,-5.45049,5.15756,1.61587,7.52418,3.22283,2.74302,1.79523,4.30134,3.27826
1.64918,6.487,9.31297,2.54696,3.05172,-2.82596,3.97492,7.8235,8.868,3.18864,3.39483,-1.0445,4.6575,1.59752,4.07671,4.3649,2.01909,2.08923,-0.288192,2.90544
1.63083,12.6448,9.98567,3.55595,3.16001,2.65909,4.75715,10.1492,15.1152,3.63179,4.43213,-4.96605,5.73007,1.57916,11.4489,3.32828,3.38362,1.82436,8.12061,3.84411
1.61247,7.49415,9.82,2.73755,3.13369,-2.32584,4.16103,4.24198,13.3207,2.34795,4.16071,-9.07867,4.77749,1.5608,6.69176,3.69436,2.58684,1.92207,2.9974,3.22275
1.5941,4.42219,8.94402,2.1029,2.99066,-4.52182,3.65598,7.95594,4.73404,3.21552,2.48039,3.2219,4.06102,1.54244,2.75117,6.10156,1.65867,2.47013,-3.35039,2.97535
1.57573,3.85532,8.65743,1.9635,2.94235,-4.80211,3.53734,8.76033,10.4237,3.37415,3.68057,-1.66333,4.99315,1.52407,3.24894,7.37096,1.80248,2.71495,-4.12203,3.25882
1.55736,5.99808,8.30522,2.4491,2.88188,-2.30715,3.78197,7.60806,15.5261,3.14443,4.49196,-7.91805,5.48317,1.50569,6.50317,7.48542,2.55013,2.73595,-0.982253,3.74013
1.53897,16.7502,8.66401,4.09271,2.94347,8.08624,5.04125,6.25212,8.35462,2.85048,3.2951,-2.1025,4.35694,1.48731,13.7996,16.052,3.71479,4.0065,-2.25238,5.46367
1.52059,14.0502,10.4818,3.74836,3.23756,3.5684,4.95298,11.495,19.6939,3.86509,5.05907,-8.19883,6.36656,1.46892,10.4026,6.72607,3.22531,2.59347,3.67653,4.13868
1.5022,12.5595,10.7715,3.54393,3.282,1.78792,4.83022,11.3841,24.7431,3.8464,5.67064,-13.359,6.85208,1.45053,8.38726,11.8759,2.89608,3.44614,-3.48866,4.50146
1.4838,13.5902,14.8533,3.68649,3.854,-1.26313,5.33325,6.85253,18.8072,2.98422,4.94387,-11.9547,5.77472,1.43214,13.9192,14.118,3.73084,3.75739,-0.198814,5.29502
1.4654,8.63848,12.1803,2.93913,3.49002,-3.54178,4.56276,12.3267,16.4141,4.00247,4.61863,-4.0874,6.11158,1.41373,9.88174,7.6201,3.14352,2.76045,2.26164,4.18352
1.44699,13.293,8.85607,3.64596,2.97592,4.43697,4.70628,7.98617,16.3423,3.22162,4.60852,-8.35614,5.62293,1.39533,9.40747,12.8477,3.06716,3.58438,-3.44028,4.71754
1.42858,23.3914,14.442,4.83647,3.80026,8.94947,6.15088,11.9175,13.3533,3.93547,4.16581,-1.43587,5.73079,1.37692,14.8189,15.1591,3.84953,3.89347,-0.340237,5.47522
1.41016,20.8354,13.6354,4.56458,3.69262,7.19994,5.87119,17.3262,16.1266,4.74523,4.578,1.19967,6.59358,1.3585,9.53643,14.9078,3.08811,3.86107,-5.37139,4.94411
1.39174,16.4945,22.1751,4.06134,4.70904,-5.68063,6.21849,15.2744,17.8194,4.4554,4.81229,-2.54505,6.5581,1.34008,17.5573,12.7178,4.19015,3.5662,4.83953,5.50228
1.37332,12.2241,14.1127,3.4963,3.75669,-1.88863,5.13194,18.682,11.4492,4.92739,3.85739,7.23277,6.25768,1.32165,17.3183,16.831,4.16153,4.10256,0.487342,5.84374
1.35488,24.9044,24.6643,4.99043,4.96632,0.24006,7.04051,18.7212,14.8979,4.93256,4.40015,3.8233,6.60995,1.30322,11.5477,14.9086,3.3982,3.86116,-3.36082,5.14357
1.33645,14.6087,18.5277,3.82213,4.30438,-3.91903,5.75642,18.7721,12.6032,4.93925,4.04711,6.16891,6.38556,1.28478,19.9953,19.7467,4.47161,4.44372,0.248612,6.30412
1.318,17.6955,18.8174,4.2066,4.3379,-1.12186,6.04259,32.5592,21.1965,6.50492,5.24852,11.3627,8.35828,1.26634,19.6565,26.8368,4.43356,5.18043,-7.18036,6.8186
1.29956,22.4799,20.5245,4.7413,4.53039,1.95546,6.55777,25.6392,19.7369,5.77241,5.06459,5.90235,7.67925,1.24789,27.9884,21.8683,5.2904,4.67635,6.12009,7.06092
1.28111,15.162,19.9278,3.89384,4.46406,-4.76583,5.92366,18.4769,24.2532,4.90026,5.61422,-5.77631,7.45198,1.22944,21.7778,14.8936,4.66667,3.85922,6.88417,6.05569
1.26265,24.5579,30.8224,4.9556,5.55179,-6.26445,7.44179,25.9911,24.8854,5.81189,5.68693,1.1057,8.13137,1.21098,24.8206,22.3811,4.98203,4.73087,2.43946,6.87035
1.24419,19.6235,33.7298,4.42985,5.80774,-14.1063,7.30434,28.8756,17.4333,6.1259,4.75986,11.4423,7.75777,1.19252,23.4969,16.9362,4.84736,4.11536,6.56075,6.35871
1.22572,38.2423,19.7467,6.18404,4.44372,18.4956,7.61505,32.8165,18.5394,6.53057,4.90854,14.2771,8.16958,1.17405,22.9855,29.3955,4.79432,5.42176,-6.41002,7.23748
1.20725,27.4992,24.1609,5.24397,4.91538,3.33833,7.1875,27.5776,36.4058,5.98664,6.87844,-8.82814,9.11882,1.15558,19.293,31.4571,4.39238,5.60866,-12.1641,7.12391
1.18877,23.8937,34.5809,4.88812,5.88055,-10.6872,7.64687,20.7767,32.8262,5.19629,6.53153,-12.0494,8.3464,1.1371,26.9286,29.1877,5.18928,5.40256,-2.2591,7.49108
1.17029,30.7573,24.8506,5.54593,4.98504,5.90671,7.45707,29.3151,19.8055,6.17235,5.07338,9.50957,7.98981,1.11862,41.5767,35.8959,6.448,5.99132,5.68077,8.80186
1.1518,31.4983,37.0914,5.61233,6.09027,-5.59314,8.28189,35.1072,24.643,6.75465,5.65916,10.4641,8.812,1.10013,40.4126,35.9437,6.35709,5.99531,4.46892,8.73821
